Country,GDP(USD)
Afghanistan,611.268
Albania,5268.239
Algeria,3365.933
Andorra,36973.845
Angola,1877.251
Antigua and Barbuda,13997.537
Argentina,8571.937
Armenia,4267.487
Aruba,22483.486
Australia,52847.678
Austria,48636.302
Azerbaijan,4240.844
"Bahamas, The",25734.158
Bahrain,23585.91
Bangladesh,1961.614
Barbados,16245.057
Belarus,6515.654
Belgium,45254.723
Belize,3781.346
Benin,1290.5
Bhutan,3241.239
Bolivia,3172.556
Bosnia and Herzegovina,5721.463
Botswana,6348.809
Brazil,6840.658
Brunei Darussalam,27068.327
Bulgaria,10119.909
Burkina Faso,831.013
Burundi,259.906
Cabo Verde,3065.478
Cambodia,1606.811
Cameroon,1539.354
Canada,43306.635
Central African Republic,494.408
Chad,653.088
Chile,12976.517
China,10525.001
Colombia,5368.319
Comoros,1357.291
"Congo, Dem. Rep. of the",536.45
"Congo, Republic of ",2206.164
Costa Rica,12117.607
Croatia,14131.444
Cyprus,27783.759
Czech Republic,22941.904
Côte d'Ivoire,2279.02
Denmark,61153.924
Djibouti,3451.606
Dominica,7415.079
Dominican Republic,7553.509
Ecuador,5670.33
Egypt,3618.515
El Salvador,3798.635
Equatorial Guinea,7126.501
Eritrea,587.449
Estonia,23035.913
Eswatini,3526.66
Ethiopia,994.197
Fiji,5084.436
Finland,49159.28
France,40162.147
Gabon,7277.369
"Gambia, The",755.415
Georgia,4263.133
Germany,46215.596
Ghana,2225.506
Greece,17603.435
Grenada,9273.2
Guatemala,4317.448
Guinea,1094.959
Guinea-Bissau,812.391
Guyana,6952.702
Haiti,1235.476
Honduras,2396.689
Hong Kong SAR,46437.742
Hungary,15948.413
Iceland,59386.9
India,1935.04
Indonesia,3922.604
Iran,11148.802
Iraq,4223.218
Ireland,85229.899
Israel,44181.168
Italy,31707.077
Jamaica,5102.762
Japan,40048.93
Jordan,4288.805
Kazakhstan,9062.958
Kenya,2079.959
Kiribati,1519.519
"Korea, Republic of",31638.455
Kosovo,4318.82
Kuwait,22683.638
Kyrgyz Republic,1195.723
Lao P.D.R.,2546.103
Latvia,17622.776
Lebanon,4002.74
Lesotho,999.345
Liberia,647.089
Libya,2891.462
Lithuania,20216.057
Luxembourg,117063.472
Macao SAR,37455.87
Madagascar,457.487
Malawi,567.59
Malaysia,10351.083
Maldives,9882.737
Mali,863.784
Malta,28966.25
Marshall Islands,4412.992
Mauritania,1955.501
Mauritius,8618.643
Mexico,8506.909
"Micronesia, Fed. States of",3935.559
Moldova,4377.542
Mongolia,3965.097
Montenegro,7688.549
Morocco,3191.046
Mozambique,448.844
Myanmar,1527.434
Namibia,4239.89
Nauru,8866.874
Nepal,1166.297
Netherlands,52456.094
New Zealand,41427.862
Nicaragua,1942.64
Niger,568.348
Nigeria,2083.162
North Macedonia ,5867.157
Norway,67265.894
Oman,16209.529
Pakistan,1371.407
Palau,14784.407
Panama,12615.878
Papua New Guinea,2808.923
Paraguay,4885.396
Peru,6127.478
Philippines,3323.429
Poland,15718.195
Portugal,22176.752
Puerto Rico,32645.395
Qatar,53797.937
Romania,12908.811
Russia,10148.243
Rwanda,815.824
Saint Kitts and Nevis,17179.482
Saint Lucia,8934.701
Saint Vincent and the Grenadines,7878.665
Samoa,4067.815
San Marino,45640.984
Saudi Arabia,20088.522
Senegal,1465.244
Serbia,7699.912
Seychelles,12362.319
Sierra Leone,508.812
Singapore,60727.616
Slovak Republic,19254.446
Slovenia,25548.766
Solomon Islands,2258.202
Somalia,471.407
South Africa,5624.5
"South Sudan, Republic of",486.946
Spain,27039.18
Sri Lanka,3680.674
Sudan,775.297
Suriname,4786.833
Sweden,52169.936
Switzerland,87351.026
Syria,0
São Tomé and Príncipe,2189.676
Taiwan Province of China,28404.717
Tajikistan,858.445
Tanzania,1110.372
Thailand,7167.523
Timor-Leste,1442.731
Togo,915.625
Tonga,4933.609
Trinidad and Tobago,15285.94
Tunisia,3570.64
Turkey,8610.029
Turkmenistan,8775.33
Tuvalu,5105.926
Uganda,908.354
Ukraine,3750.901
United Arab Emirates,38661.176
United Kingdom,41127.443
United States of America,63078.471
Uruguay,15169.153
Uzbekistan,1766.473
Vanuatu,3294.723
Venezuela,1690.659
Vietnam,3520.738
West Bank and Gaza,3044.744
Yemen,622.897
Zambia,959.148
Zimbabwe,1523.835
